Loaded file /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint, unpacking...
Successfully restored trainer from /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint
Loaded 16005/16005 lines (1-16005) of document /home/script/tesseract/tesstutorial/khatraineng/eng.Liberation_Serif.exp0.lstmf
Loaded 3666/3666 lines (1-3666) of document /home/script/tesseract/tesstutorial/khaevaleng/eng.Liberation_Serif.exp0.lstmf
At iteration 2950/21100/21100, Mean rms=0.177%, delta=0.038%, char train=0.105%, word train=0.336%, skip ratio=0%,  New worst char error = 0.105 wrote checkpoint.

At iteration 2953/21200/21200, Mean rms=0.179%, delta=0.038%, char train=0.108%, word train=0.342%, skip ratio=0%,  New worst char error = 0.108 wrote checkpoint.

At iteration 2957/21300/21300, Mean rms=0.177%, delta=0.037%, char train=0.107%, word train=0.339%, skip ratio=0%,  New worst char error = 0.107 wrote checkpoint.

At iteration 2958/21400/21400, Mean rms=0.175%, delta=0.033%, char train=0.099%, word train=0.323%, skip ratio=0%,  New worst char error = 0.099 wrote checkpoint.

At iteration 2959/21500/21500, Mean rms=0.174%, delta=0.034%, char train=0.098%, word train=0.313%, skip ratio=0%,  New worst char error = 0.098 wrote checkpoint.

At iteration 2963/21600/21600, Mean rms=0.173%, delta=0.032%, char train=0.097%, word train=0.311%, skip ratio=0%,  New worst char error = 0.097 wrote checkpoint.

2 Percent improvement time=1650, best error was 2.606 @ 1317
At iteration 2967/21700/21700, Mean rms=0.171%, delta=0.031%, char train=0.087%, word train=0.279%, skip ratio=0%,  New best char error = 0.087 wrote best model:/home/script/tesseract/tesstutorial/khalayer/khalayer0.087_2967.checkpoint wrote checkpoint.

At iteration 2976/21800/21800, Mean rms=0.173%, delta=0.035%, char train=0.1%, word train=0.295%, skip ratio=0%,  New worst char error = 0.1 wrote checkpoint.

At iteration 2980/21900/21900, Mean rms=0.174%, delta=0.035%, char train=0.107%, word train=0.329%, skip ratio=0%,  New worst char error = 0.107 wrote checkpoint.

At iteration 2984/22000/22000, Mean rms=0.175%, delta=0.037%, char train=0.111%, word train=0.363%, skip ratio=0%,  New worst char error = 0.111 wrote checkpoint.

At iteration 2987/22100/22100, Mean rms=0.174%, delta=0.03%, char train=0.098%, word train=0.312%, skip ratio=0%,  New worst char error = 0.098 wrote checkpoint.

At iteration 2994/22200/22200, Mean rms=0.179%, delta=0.037%, char train=0.116%, word train=0.386%, skip ratio=0%,  New worst char error = 0.116 wrote checkpoint.

At iteration 2998/22300/22300, Mean rms=0.179%, delta=0.04%, char train=0.134%, word train=0.431%, skip ratio=0%,  New worst char error = 0.134 wrote checkpoint.

At iteration 3004/22400/22400, Mean rms=0.181%, delta=0.043%, char train=0.14%, word train=0.468%, skip ratio=0%,  New worst char error = 0.14 wrote checkpoint.

At iteration 3005/22500/22500, Mean rms=0.18%, delta=0.043%, char train=0.137%, word train=0.46%, skip ratio=0%,  New worst char error = 0.137 wrote checkpoint.

At iteration 3009/22600/22600, Mean rms=0.181%, delta=0.046%, char train=0.138%, word train=0.467%, skip ratio=0%,  New worst char error = 0.138 wrote checkpoint.

At iteration 3015/22700/22700, Mean rms=0.183%, delta=0.047%, char train=0.146%, word train=0.496%, skip ratio=0%,  New worst char error = 0.146 wrote checkpoint.

At iteration 3018/22800/22800, Mean rms=0.18%, delta=0.04%, char train=0.129%, word train=0.465%, skip ratio=0%,  New worst char error = 0.129 wrote checkpoint.

At iteration 3020/22900/22900, Mean rms=0.178%, delta=0.038%, char train=0.119%, word train=0.42%, skip ratio=0%,  New worst char error = 0.119 wrote checkpoint.

At iteration 3024/23000/23000, Mean rms=0.179%, delta=0.039%, char train=0.118%, word train=0.4%, skip ratio=0%,  New worst char error = 0.118 wrote checkpoint.

At iteration 3029/23100/23100, Mean rms=0.178%, delta=0.041%, char train=0.124%, word train=0.413%, skip ratio=0%,  New worst char error = 0.124 wrote checkpoint.

At iteration 3031/23200/23200, Mean rms=0.172%, delta=0.033%, char train=0.106%, word train=0.337%, skip ratio=0%,  New worst char error = 0.106 wrote checkpoint.

At iteration 3035/23300/23300, Mean rms=0.173%, delta=0.03%, char train=0.087%, word train=0.276%, skip ratio=0%,  wrote checkpoint.

2 Percent improvement time=1720, best error was 2.606 @ 1317
At iteration 3037/23400/23400, Mean rms=0.17%, delta=0.027%, char train=0.078%, word train=0.222%, skip ratio=0%,  New best char error = 0.078 wrote best model:/home/script/tesseract/tesstutorial/khalayer/khalayer0.078_3037.checkpoint wrote checkpoint.

At iteration 3045/23500/23500, Mean rms=0.174%, delta=0.035%, char train=0.109%, word train=0.282%, skip ratio=0%,  New worst char error = 0.109 wrote checkpoint.

